Description,POA_l,POA_u,CS,PvsG,day_only,Metric,Freq,Method,slope,intercept,PLR,uncertainty
PvsPOA_POA100_PVUSA_W,100,,,1,0,PVUSA,W,YOY,,,-0.0152593626166289,0.007620650642323
CS20_POA20_PI_W,20,,CS20,0,0,PI,W,YOY,,,-0.0078879055790502,0.005361679389149
POA50_PRt_W,50,,,0,0,PRt,W,YOY,,,-0.0079154960228747,0.0055334233048791
POA500_PRt_W,500,,,0,0,PRt,W,YOY,,,-0.00359751826348,0.0066658043154487
POA20_huld_W,20,,,0,0,huld,W,YOY,,,-0.0104811434154561,0.0065056272754772
PvsPOA_POA500_PVUSA_W,500,,,1,0,PVUSA,W,YOY,,,-0.0049185463681696,0.0076020029034576
PvsPOA_CS20_POA500_PI_W,500,,CS20,1,0,PI,W,YOY,,,-0.0049812919046036,0.0039745632287948
CS20_POA500_PI_W,500,,CS20,0,0,PI,W,YOY,,,-0.0035502245484015,0.0030797942870389
PvsPOA_CS20_POA200_PI_W,200,,CS20,1,0,PI,W,YOY,,,-0.00805957619392,0.0045856138605955
POA20_PI_W,20,,,0,0,PI,W,YOY,,,-0.0086916641726326,0.0048628377143263
CS20_POA100_huld_W,100,,CS20,0,0,huld,W,YOY,,,-0.0069073746307198,0.0079483073204755
PvsPOA_POA5_P_W,5,,,1,0,P,W,YOY,,,0.0167303056408452,0.0344611093843722
CS20_POA5_PVUSA_W,5,,CS20,0,0,PVUSA,W,YOY,,,-0.0126169545631203,0.0094318855804895
PvsPOA_CS20_POA500_PR_W,500,,CS20,1,0,PR,W,YOY,,,-0.0046981160210149,0.006885677576065
PvsPOA_CS20_POA5_PI_W,5,,CS20,1,0,PI,W,YOY,,,-0.0059278112537456,0.0048545400569381
CS20_POA50_PR_W,50,,CS20,0,0,PR,W,YOY,,,-0.014606838358059,0.0150565684564672
POA0_PI_W,0,,,0,0,PI,W,YOY,,,-0.0086850964155479,0.0038817643396295
CS20_POA800_PRt_W,800,,CS20,0,0,PRt,W,YOY,,,0.0011259598552056,0.0072848154206802
PvsPOA_CS20_POA100_PI_W,100,,CS20,1,0,PI,W,YOY,,,-0.0068382079389217,0.0046276592340752
PvsPOA_POA20_PVUSA_W,20,,,1,0,PVUSA,W,YOY,,,-0.0138570878383605,0.0072131271792871
PvsPOA_CS20_POA200_P_W,200,,CS20,1,0,P,W,YOY,,,-0.0157290158888721,0.0229706131223077
PvsPOA_POA20_P_W,20,,,1,0,P,W,YOY,,,0.0158834461413946,0.0343123086379223
PvsPOA_CS20_POA0_PVUSA_W,0,,CS20,1,0,PVUSA,W,YOY,,,-0.0092302202535768,0.0053805763509395
PvsPOA_CS20_POA800_PVUSA_W,800,,CS20,1,0,PVUSA,W,YOY,,,-0.0061763891312632,0.0081751569904728
POA800_PRt_W,800,,,0,0,PRt,W,YOY,,,-0.0028453927959071,0.0065081488250722
POA5_huld_W,5,,,0,0,huld,W,YOY,,,-0.0095717143016362,0.006093676440478
POA5_PI_W,5,,,0,0,PI,W,YOY,,,-0.0086693513907512,0.0039332068834022
CS20_POA100_PVUSA_W,100,,CS20,0,0,PVUSA,W,YOY,,,-0.0114158759862586,0.0103713387266966
PvsPOA_POA5_PRt_W,5,,,1,0,PRt,W,YOY,,,-0.0086597343178772,0.0036707898034561
PvsPOA_CS20_POA20_PI_W,20,,CS20,1,0,PI,W,YOY,,,-0.0060536541707432,0.0045883406525994
PvsPOA_CS20_POA20_PR_W,20,,CS20,1,0,PR,W,YOY,,,-0.0054018629207765,0.0061493850943213
POA200_PVUSA_W,200,,,0,0,PVUSA,W,YOY,,,-0.0095184392363555,0.0088974636680675
PvsPOA_POA0_PR_W,0,,,1,0,PR,W,YOY,,,-0.0095788098249152,0.0118122991335118
CS20_POA20_PR_W,20,,CS20,0,0,PR,W,YOY,,,-0.0133102634203723,0.0146325816202035
