Description,POA_l,POA_u,CS,PvsG,day_only,Metric,Freq,Method,slope,intercept,PLR,uncertainty
POA0_PI_W,0,,,0,0,PI,W,YOY,,,-0.0096001550354404,0.0027207080325026
CS20_POA800_PRt_W,800,,CS20,0,0,PRt,W,YOY,,,-0.0066334346555313,0.00252046474228
PvsPOA_CS20_POA100_PI_W,100,,CS20,1,0,PI,W,YOY,,,-0.0086119714772926,0.0016823720257237
PvsPOA_POA20_PVUSA_W,20,,,1,0,PVUSA,W,YOY,,,-0.0123470901157656,0.0024333246795314
PvsPOA_CS20_POA200_P_W,200,,CS20,1,0,P,W,YOY,,,-0.0257359906990894,0.0120430674675018
PvsPOA_POA20_P_W,20,,,1,0,P,W,YOY,,,-0.0160748200275184,0.0117341923022848
PvsPOA_CS20_POA0_PVUSA_W,0,,CS20,1,0,PVUSA,W,YOY,,,-0.0098186209195386,0.0028189751658478
PvsPOA_CS20_POA800_PVUSA_W,800,,CS20,1,0,PVUSA,W,YOY,,,-0.0062834670280189,0.002707059412311
POA800_PRt_W,800,,,0,0,PRt,W,YOY,,,-0.0063925973488635,0.0024735668518472
POA5_huld_W,5,,,0,0,huld,W,YOY,,,-0.0088061307961086,0.0051113569511557
POA5_PI_W,5,,,0,0,PI,W,YOY,,,-0.0095913002915138,0.0027321136463684
CS20_POA100_PVUSA_W,100,,CS20,0,0,PVUSA,W,YOY,,,-0.0100377025308634,0.0054091930068085
PvsPOA_POA5_PRt_W,5,,,1,0,PRt,W,YOY,,,-0.0112335914068144,0.0026417630059378
PvsPOA_CS20_POA20_PI_W,20,,CS20,1,0,PI,W,YOY,,,-0.0092246493881924,0.0022450587498852
PvsPOA_CS20_POA20_PR_W,20,,CS20,1,0,PR,W,YOY,,,-0.0105764931745606,0.0031649259062147
POA200_PVUSA_W,200,,,0,0,PVUSA,W,YOY,,,-0.0114613518400012,0.0052173206748345
PvsPOA_POA0_PR_W,0,,,1,0,PR,W,YOY,,,-0.0118746220904861,0.0034377810286704
CS20_POA20_PR_W,20,,CS20,0,0,PR,W,YOY,,,-0.0101727520359172,0.0041219712588986
PvsPOA_CS20_POA50_PVUSA_W,50,,CS20,1,0,PVUSA,W,YOY,,,-0.0105827970485481,0.002799345195454
CS20_POA500_PRt_W,500,,CS20,0,0,PRt,W,YOY,,,-0.0070664374976145,0.0028630436430722
PvsPOA_POA50_PVUSA_W,50,,,1,0,PVUSA,W,YOY,,,-0.0133189422422342,0.0022831312167355
PvsPOA_POA500_huld_W,500,,,1,0,huld,W,YOY,,,-0.0077359089150904,0.002286678978375
POA200_PR_W,200,,,0,0,PR,W,YOY,,,-0.008565821255635,0.0066609957790117
PvsPOA_CS20_POA20_huld_W,20,,CS20,1,0,huld,W,YOY,,,-0.0067112508488472,0.0034695936020493
PvsPOA_POA200_huld_W,200,,,1,0,huld,W,YOY,,,-0.0079088696251018,0.002880166724043
POA500_huld_W,500,,,0,0,huld,W,YOY,,,-0.0069334404166496,0.0030347582384582
CS20_POA800_PI_W,800,,CS20,0,0,PI,W,YOY,,,-0.0066773565310352,0.0025517202291205
CS20_POA500_PVUSA_W,500,,CS20,0,0,PVUSA,W,YOY,,,-0.0081528148882472,0.0030218426268698
POA50_PR_W,50,,,0,0,PR,W,YOY,,,-0.0114263726694564,0.0062948920666126
PvsPOA_POA100_huld_W,100,,,1,0,huld,W,YOY,,,-0.0088064826402381,0.0033418155423393
POA20_PR_W,20,,,0,0,PR,W,YOY,,,-0.0120887778839975,0.0060148340351176
