Description,POA_l,POA_u,CS,PvsG,day_only,Metric,Freq,Method,slope,intercept,PLR,uncertainty
POA200_PRt_W,200,,,0,0,PRt,W,YOY,,,-0.0323109312680853,0.0097795949550973
PvsPOA_POA800_PR_W,800,,,1,0,PR,W,YOY,,,-0.0104648413041209,0.0108888134802126
CS20_POA50_huld_W,50,,CS20,0,0,huld,W,YOY,,,-0.0330384569669348,0.0141077474603113
PvsPOA_POA200_PI_W,200,,,1,0,PI,W,YOY,,,-0.036020101402005,0.0079268723163964
CS20_POA5_P_W,5,,CS20,0,0,P,W,YOY,,,-0.0379353649211379,0.0186318472389262
PvsPOA_CS20_POA500_PVUSA_W,500,,CS20,1,0,PVUSA,W,YOY,,,-0.0271586137961827,0.0041291254228658
PvsPOA_POA20_PI_W,20,,,1,0,PI,W,YOY,,,-0.0321149247675893,0.0059510916069832
PvsPOA_CS20_POA100_P_W,100,,CS20,1,0,P,W,YOY,,,-0.0437177754155387,0.0176827471130941
PvsPOA_CS20_POA800_PR_W,800,,CS20,1,0,PR,W,YOY,,,-0.0215424191598301,0.0152173172431493
POA5_PRt_W,5,,,0,0,PRt,W,YOY,,,-0.0322043224968357,0.0084489638512989
CS20_POA50_P_W,50,,CS20,0,0,P,W,YOY,,,-0.0371424255345388,0.0178059517855271
PvsPOA_POA100_PR_W,100,,,1,0,PR,W,YOY,,,-0.0183568810516933,0.0081066353462455
PvsPOA_POA500_P_W,500,,,1,0,P,W,YOY,,,-0.0293534174762324,0.0140082048919965
PvsPOA_CS20_POA800_huld_W,800,,CS20,1,0,huld,W,YOY,,,-0.027785600035017,0.0065055099941006
PvsPOA_CS20_POA100_PVUSA_W,100,,CS20,1,0,PVUSA,W,YOY,,,-0.0354081271793643,0.0096755681333516
PvsPOA_CS20_POA200_PRt_W,200,,CS20,1,0,PRt,W,YOY,,,-0.0337267520453409,0.0091419800915165
PvsPOA_CS20_POA5_P_W,5,,CS20,1,0,P,W,YOY,,,-0.0451026339093951,0.0185587809413591
POA800_huld_W,800,,,0,0,huld,W,YOY,,,-0.0284970581852843,0.0134746180229752
CS20_POA0_PRt_W,0,,CS20,0,0,PRt,W,YOY,,,-0.0338953147037331,0.0115035438152015
PvsPOA_POA500_PR_W,500,,,1,0,PR,W,YOY,,,-0.0234386537756238,0.0064961421441517
PvsPOA_CS20_POA50_PI_W,50,,CS20,1,0,PI,W,YOY,,,-0.0381626562288186,0.0091442236842492
PvsPOA_POA800_huld_W,800,,,1,0,huld,W,YOY,,,-0.0284551007728371,0.0091880869190647
PvsPOA_CS20_POA0_PR_W,0,,CS20,1,0,PR,W,YOY,,,-0.0269380661676514,0.0165469068883242
PvsPOA_POA5_huld_W,5,,,1,0,huld,W,YOY,,,-0.024022333866181,0.0150532980652832
CS20_POA50_PRt_W,50,,CS20,0,0,PRt,W,YOY,,,-0.0336412832422076,0.0114331163486059
POA500_PI_W,500,,,0,0,PI,W,YOY,,,-0.0343000820544209,0.0080646632736262
PvsPOA_CS20_POA800_PI_W,800,,CS20,1,0,PI,W,YOY,,,-0.0301464741442081,0.0055320452487051
CS20_POA50_PVUSA_W,50,,CS20,0,0,PVUSA,W,YOY,,,-0.0343716530144375,0.0154290101277539
PvsPOA_CS20_POA5_huld_W,5,,CS20,1,0,huld,W,YOY,,,-0.0384525171508686,0.0094018920412603
CS20_POA20_PVUSA_W,20,,CS20,0,0,PVUSA,W,YOY,,,-0.0348844071925489,0.0159448136216546
PvsPOA_CS20_POA800_PRt_W,800,,CS20,1,0,PRt,W,YOY,,,-0.0302869185925815,0.0057188451611449
CS20_POA500_P_W,500,,CS20,0,0,P,W,YOY,,,-0.0249685013711934,0.0181019406594998
POA0_huld_W,0,,,0,0,huld,W,YOY,,,-0.0248247730442777,0.0094613232059941
PvsPOA_CS20_POA20_PRt_W,20,,CS20,1,0,PRt,W,YOY,,,-0.0382992303917671,0.009709490598694
POA5_PR_W,5,,,0,0,PR,W,YOY,,,-0.0219092753055603,0.014708022865645
CS20_POA0_huld_W,0,,CS20,0,0,huld,W,YOY,,,-0.0324160447017844,0.0123171540444109
PvsPOA_POA50_PI_W,50,,,1,0,PI,W,YOY,,,-0.0312899675652023,0.0057710060533487
CS20_POA200_PI_W,200,,CS20,0,0,PI,W,YOY,,,-0.0357889691292436,0.0115517757812921
POA0_P_W,0,,,0,0,P,W,YOY,,,-0.0303786584309169,0.0392003254909721
CS20_POA500_huld_W,500,,CS20,0,0,huld,W,YOY,,,-0.0308564955976131,0.0077209115590689
POA50_P_W,50,,,0,0,P,W,YOY,,,-0.0200782198147632,0.0422416145428814
PvsPOA_POA20_PR_W,20,,,1,0,PR,W,YOY,,,-0.0213734166962759,0.0127821747022819
PvsPOA_POA0_PRt_W,0,,,1,0,PRt,W,YOY,,,-0.0324031437503681,0.0065190853134319
CS20_POA500_PRt_ME,500,,CS20,0,0,PRt,ME,YOY,,,-0.0347092503406962,0.0161824214458465
CS20_POA50_huld_ME,50,,CS20,0,0,huld,ME,YOY,,,-0.0364511325711109,0.0201130509376525
PvsPOA_CS20_POA20_PI_ME,20,,CS20,1,0,PI,ME,YOY,,,-0.0386235505016775,0.0175134700536727
